canton_key,canton_name,court_key,court_name,chamber_key,chamber_name
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_001,I. öffentlich-rechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_002,II. öffentlich-rechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_004,I. zivilrechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_005,II. zivilrechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_006,Strafrechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_008,I. sozialrechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_009,II. sozialrechtliche Abteilung
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_010,Schuldbetreibungs- und Konkurskammer (bis 2006)
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_012,Anklagekammer (bis 2004)      
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_013,Bundesstrafgericht (bis 2004)
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_014,Ausserordentlicher Kassationhof (bis 2004)
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_015,Verwaltungskommission
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_016,Eidgenössisches Versicherungsgericht
CH,Eidgenossenschaft,CH_BGer,Bundesgericht,CH_BGer_999,sonstiges
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_001,Band I
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_002,Band Ia
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_003,Band Ib
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_004,Band II
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_005,Band III
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_006,Band IV
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_007,Band V
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_008,Band VI
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_009,Band VII
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_010,Band VIII
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_011,Band IX
CH,Eidgenossenschaft,CH_BGE,Bundesgericht (BGE),CH_BGE_999,sonstiges
CH,Eidgenossenschaft,CH_BVGE,Bundesverwaltungsgericht,CH_BVGE_001,
CH,Eidgenossenschaft,CH_PATG,Bundespatentgericht,CH_PATG_001,
CH,Eidgenossenschaft,CH_BSTG,Bundesstrafgericht,CH_BSTG_001,
CH,Eidgenossenschaft,CH_VB,Verwaltungspraxis der Bundesbehörden (1987-2017),CH_VB_001,Staatssekretariat für Bildung und Forschung
CH,Eidgenossenschaft,CH_VB,Verwaltungspraxis der Bundesbehörden (1987-2017),CH_VB_002,Eidgenössisches Justiz- und Polizeidepartement (EJPD)
CH,Eidgenossenschaft,CH_VB,Verwaltungspraxis der Bundesbehörden (1987-2017),CH_VB_003,"Bundesamt für Justiz, BJ"
CH,Eidgenossenschaft,CH_VB,Verwaltungspraxis der Bundesbehörden (1987-2017),CH_VB_004,"BK, Sektion Recht"
